source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2019-08-12 14:28:15,"Cảm ơn Hà Nội vì đã yêu thương tấm thân nhỏ bé này ... SKY TOUR đã kết thúc nhưng chúng ta đã cùng nhau có thêm thật nhiều những kỉ niệm đẹp,cho tuổi trẻ của chúng ta thêm tuyệt vời hơn !!!! ❤️❤️❤️ Hẹn gặp lại vào một ngày gần nhất !!!!! 🌻🌻🌻 #skytour2019 #mtpentertainment",M-TP và 159K người khác,113K,"2,2K",43K,194,181,15,21.597 bình luậ,2881210388559312,/story.php?story_fbid=2881210388559312&id=309972372349806
M-TP,,2019-08-10 23:06:02,Ngày mai nhé Hà Nội ơiiiiiiiii ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #skytour #mtpentertainment,Trường Sơn và 147K người khác,106K,"2,8K",37K,364,297,13,16.998 bình luậ,2877974482216236,/story.php?story_fbid=2877974482216236&id=309972372349806
M-TP,,2019-08-10 12:00:29,"✨ SKY TOUR 2019 | SỰ KIỆN MEET & GREET | TP. HÀ NỘI✨ 📣 THỜI GIAN BẮT ĐẦU CHECK-IN & ĐỊA ĐIỂM TỔ CHỨC: 🏢 CUNG THỂ THAO ĐIỀN KINH MỸ ĐÌNH 📍 KĐT Mỹ Đình, Phố Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, TP. Hà Nội 🕛 Thời gian bắt đầu check-in: 10:00 SÁNG - CHỦ NHẬT, 11/08/2019. ‼ DỰ KIẾN SỰ KIỆN BẮT ĐẦU VÀO 11:30 SÁNG - 11/08/2019. 📣 Đến MEET & GREET, bạn sẽ được: 👉 Xem trước chương trình tổng duyệt 👏 👉 Được trao tận tay poster có chữ ký của toàn bộ nghệ sĩ tham dự 🎉 👉 Giao lưu thân mật cùng nghệ sĩ Sơn Tùng M-TP 💛 📌 LƯU Ý: ⛔ TUYỆT ĐỐI KHÔNG QUAY PHIM, CHỤP ẢNH TRONG SUỐT QUÁ TRÌNH SỰ KIỆN DIỄN RA. • BTC SẼ THU GIỮ ĐIỆN THOẠI CÁ NHÂN VÀ HOÀN TRẢ LẠI SAU KHI CHƯƠNG TRÌNH KẾT THÚC. ĐIỆN THOẠI ĐƯỢC BẢO QUẢN TẠI QUẦY GIỮ ĐỒ TRONG KHU VỰC SỰ KIỆN. • BTC CÓ QUYỀN MỜI CÁ NHÂN VI PHẠM RA KHỎI KHU VỰC SỰ KIỆN MÀ KHÔNG HOÀN TRẢ LẠI TIỀN VÉ. • VUI LÒNG CHẤP HÀNH NỘI QUY & HƯỚNG DẪN DO BTC CÔNG BỐ. Hẹn gặp các bạn tại sự kiện MEET & GREET và SKY TOUR 2019!!! 🥂🥂🥂 📣 Sự kiện được phân phối độc quyền vé điện tử trên ứng dụng VinID. 📣 Mọi thông tin chi tiết vui lòng liên hệ fanpage chính thức của công ty M-TP Emtertainment. #SONTUNGMTP #VINID #MTPEntertainment #SkyTour2019",Nguyễn Arafat và 65K người khác,47K,"1,2K",16K,89,275,13,9.085 bình luậ,2877048858975465,/story.php?story_fbid=2877048858975465&id=309972372349806
M-TP,,2019-08-08 17:26:10,"‼BẢN ĐỒ KHU VỰC TỔ CHỨC SKY TOUR TẠI TP. HÀ NỘI‼ 📍 CUNG THỂ THAO ĐIỀN KINH MỸ ĐÌNH • Khu đô thị Mỹ Đình, Phố Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, TP. Hà Nội. 🕛 Thời gian mở cổng soát vé: từ 14:00 - 20:00, ngày 11/08/2019. Mọi người xem hình để nắm rõ chi tiết từng khu vực nhé!!! Hẹn gặp Hà Nội thương yêu tại SKY TOURRRR!!! 💛💛💛 📣 Sự kiện được phân phối độc quyền vé điện tử trên ứng dụng VinID. 📣 Tải app VinID để mua vé tại 👉 https://id.vin/WoK 📣 Hướng dẫn mua vé VinID tại 👉 https://id.vin/Wns #SkyTour2019 #SonTungMTP #MTPEntertainment",M-TP và 54K người khác,40K,"1,3K",12K,118,394,12,8.073 bình luậ,2873532489327102,/story.php?story_fbid=2873532489327102&id=309972372349806
M-TP,,2019-08-05 14:26:09,"Had a great time on the stage with my fans in Da Nang ... You guys were much better than all my expectations last night ❤️❤️❤️ Thanks Da Nang for coming and giving me a lot of energy and love ... I really appreciate that ... See you soon  ahhh If the tour goes through Da Nang one more time ,Will all of you guys come ???? 😉😉😉 #skytour #mtpentertainment",M-TP và 128K người khác,91K,"1,8K",34K,181,199,18,15.542 bình luậ,2867615186585499,/story.php?story_fbid=2867615186585499&id=309972372349806
M-TP,,2019-08-04 15:33:19,Đã hoàn thành buổi Greet and meet tại Đà Nẵng .... Cảm ơn mọi người rất nhiềuuuu Và đừng quênnnn Tối nayyyy Cháy hết mình nhé Đà Nẵng ơiiiiii #skytour #mtpentertainment  ❤️❤️❤️,Nguyen Le Tuong Vi và 186K người khác,135K,3K,47K,285,259,27,20.583 bình luậ,2865681460112205,/story.php?story_fbid=2865681460112205&id=309972372349806
M-TP,,2019-08-02 10:03:29,"‼BẢN ĐỒ KHU VỰC TỔ CHỨC SKY TOUR TẠI TP. ĐÀ NẴNG‼ 📍 Cung Thể Thao Tiên Sơn       • Số 3 đường Phan Đăng Lưu, Phường Hoà Cường Bắc, Quận Hải Châu, TP. Đà Nẵng. 🕛 Thời gian mở cổng soát vé: từ 14:00 - 20:00, ngày 04/8/2019. Vui lòng xem chi tiết các khu vực trong từng hình. Hẹn gặp mọi người tại SKY TOURRRR!!! 👏👏👏 #SkyTour2019 #SonTungMTP #MTPEntertainment",Nguyễn Arafat và 48K người khác,34K,"1,3K",11K,128,301,10,7.006 bình luậ,2861364563877228,/story.php?story_fbid=2861364563877228&id=309972372349806
M-TP,,2019-08-01 20:00:53,"HÃY TRAO CHO ANH sau 1 tháng ra mắt trên YouTube 🥂🥂🥂 Thank you so muchhhhh!!! ❤️❤️❤️ Vẫn cứ tiếp tục ủng hộ HÃY TRAO CHO ANH, mọi người nhé!!! 💋💋💋 👉 https://youtu.be/knW7-x7Y7RE #HayTraoChoAnh #GiveItToMe #SonTungMTP #MTPEntertainment",M-TP và 118K người khác,86K,"2,6K",28K,248,42,12,15.457 bình luậ,2860136267333391,/story.php?story_fbid=2860136267333391&id=309972372349806
M-TP,,2019-08-01 12:52:02,"✨ SKY TOUR 2019 | SỰ KIỆN MEET & GREET | TP. ĐÀ NẴNG ✨ 📣 THỜI GIAN BẮT ĐẦU CHECK-IN & ĐỊA ĐIỂM TỔ CHỨC: 🏢 CUNG THỂ THAO TIÊN SƠN 📍 Số 03 Phan Đăng Lưu, Hoà Cường Bắc, Quận Hải Châu, TP. Đà Nẵng 🕛 10:00 SÁNG - ngày 04/08/2019 📣 Đến MEET & GREET, bạn sẽ được: 👉 Xem trước chương trình tổng duyệt 👏 👉 Được trao tận tay poster có chữ ký của toàn bộ nghệ sĩ tham dự 🎉 👉 Giao lưu thân mật cùng nghệ sĩ Sơn Tùng M-TP 💛 📌 LƯU Ý: ⛔ TUYỆT ĐỐI KHÔNG QUAY PHIM, CHỤP ẢNH TRONG SUỐT QUÁ TRÌNH SỰ KIỆN DIỄN RA. • BTC SẼ THU GIỮ ĐIỆN THOẠI CÁ NHÂN VÀ HOÀN TRẢ LẠI SAU KHI CHƯƠNG TRÌNH KẾT THÚC. ĐIỆN THOẠI ĐƯỢC BẢO QUẢN TẠI QUẦY GIỮ ĐỒ TRONG KHU VỰC SỰ KIỆN. • BTC CÓ QUYỀN MỜI CÁ NHÂN VI PHẠM RA KHỎI KHU VỰC SỰ KIỆN MÀ KHÔNG HOÀN TRẢ LẠI TIỀN VÉ. • VUI LÒNG CHẤP HÀNH NỘI QUY & HƯỚNG DẪN DO BTC CÔNG BỐ. Hẹn gặp các bạn tại sự kiện MEET & GREET và SKY TOUR 2019!!! 🥂🥂🥂 📣 Sự kiện được phân phối độc quyền vé điện tử trên ứng dụng VinID. Hoặc bạn có thể mua vé cứng tại 25 cửa hàng VinMart+ ở Đà Nẵng. 📣 Tải app VinID để mua vé tại 👉 https://id.vin/WoK 📣 Hướng dẫn mua vé VinID tại 👉 https://id.vin/Wns 📣 Thông tin chi tiết, truy cập ngay 👇 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour2019",59K,42K,"1,2K",15K,91,281,9,9.289 bình luậ,2859572850723066,/story.php?story_fbid=2859572850723066&id=309972372349806
M-TP,,2019-07-30 19:27:46,🚴‍♂️🚴‍♂️🚴‍♂️ 🏇🏇🏇 #skytour #mtpentertainment,M-TP và 312K người khác,238K,"6,4K",66K,842,192,33,28.115 bình luậ,2856135491066802,/story.php?story_fbid=2856135491066802&id=309972372349806
M-TP,,2019-07-29 20:12:48,"Đà Nẵng và Hà Nội có nhớ Tùng nhiều không?!?! ❤ Đừng quên cuộc hẹn của chúng ta tại Đà Nẵng vào 04/8 và tại Hà Nội vào 11/8 đó nhé!!! ✨✨✨ Tùng nhớ mọi người rất rất rất nhiềuuuuuuuu!!! 💋💋💋 📣 ĐÃ TIẾN HÀNH PHÂN PHỐI VÉ CỨNG CHO SHOW TẠI ĐÀ NẴNG Ở 25 CỬA HÀNG VINMART+ TỪ NGÀY 31/7 📣 Tải app VinID để mua vé Đà Nẵng và Hà Nội ngay tại 👉 https://id.vin/WoK 📣 Hướng dẫn mua vé VinID tại 👉 https://id.vin/Wns 📣 Thông tin chi tiết, truy cập ngay 👇 https://skytour.mtpentertainment.com #SKYTOUR2019 #SonTungMTP #MTPEntertainment",M-TP và 197K người khác,142K,"5,3K",47K,409,421,57,18.032 bình luậ,2854225187924499,/story.php?story_fbid=2854225187924499&id=309972372349806
M-TP,,2019-07-29 14:59:11,Đà Nẵng và Hà Nội ... Các bạn đã sẵn sàng chưa ??????? ❤️❤️❤️ Cảm ơn Sài Gòn vì một đêm không thể tuyệt vời hơn !!! #skytour #mtpentertainment,M-TP và 118K người khác,85K,"2,1K",30K,242,350,15,14.768 bình luậ,2853760734637611,/story.php?story_fbid=2853760734637611&id=309972372349806
M-TP,,2019-07-28 16:11:13,Đã có những kỉ niệm thật đẹp với các fans vào phần Greet and meet của buổi trưa nay .......... Và giờ thì giữ sức cho buổi tối nào cả nhà ơi !!!!! ❤️❤️❤️,M-TP và 129K người khác,92K,"2,3K",33K,186,369,12,15.792 bình luậ,2851897408157277,/story.php?story_fbid=2851897408157277&id=309972372349806
M-TP,,2019-07-28 08:00:42,"CÓ GO-VIET: SKY TOUR THẬT TUYỆT! Sky ơi!!! Các bạn đã sẵn sàng để cháy hết mình tại SKY TOUR chưa nào!!! 28/7 này GO-VIET và Tùng sẽ có hàng nghìn ưu đãi rất hấp dẫn dành tặng cả nhà này: Sky muốn nhận mã ưu đãi đặt chuyến khỏi lo đường về, hay đặt nghìn món ngon tiếp sức đây? Mã nào cũng có, chỉ cần đến SKY TOUR và ghé trạm GO-VIET nhận mã nhé.  *Tải ngay GO-VIET, sẵn sàng cho SKY TOUR nào: https://g-v.vn/GiveItToMe. 🎶🎶🎶 #GOVIET #GOFOOD #SONTUNGMTP #SkyTour2019",Nguyễn Arafat và 45K người khác,32K,"1,5K",11K,66,106,5,7.676 bình luậ,2850389021641449,/story.php?story_fbid=2850389021641449&id=309972372349806
M-TP,,2019-07-27 21:19:55,Ừ thì ngày mai nhoaaaa !!!!! ❤️❤️❤️ SKY TOUR !!!!!!! 🌻🌻🌻,M-TP và 80K người khác,58K,"2,3K",19K,134,415,7,10.704 bình luậ,2850348124978872,/story.php?story_fbid=2850348124978872&id=309972372349806
"M-TP,Pepsi",Pepsi,2019-07-22 20:40:05,"Hà Nội ơi, Hà Nội ơiiiii... Nhanh tay tham gia ngay sự kiện nhận vé SKY TOUR 2019 của Pepsi để chúng ta có thể gặp nhau nào!!! 💋💋💋 Cách thức & thể lệ tham gia có trong bài đăng phía dưới, mọi người nhớ đọc kỹ nhé...!!! 👇 Hẹn gặp mọi người tại SKY TOURRRRRR 🎶🎶🎶 #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019MEET & GREET CÙNG SƠN TÙNG M-TP!!! ĐỘC QUYỀN VÉ VVIP SKY TOUR TẠI HÀ NỘI!!! Các bạn Sky Hà Nội ơi, Pepsi mang đến cho các bạn ưu đãi siêu khủng đây! Đặc biệt chỉ dành riêng cho Sky Hà Nội, những chiếc vé VVIP thẳng tiến đến Sky Tour trị giá 2.145.000 đồng sẽ thuộc về những ai nhanh chân nhất đến các địa điểm diễn ra chương trình và mua sản phẩm Pepsi.  Với chiếc vé VVIP trên tay, bạn sẽ được những đặc quyền cực kỳ hấp dẫn:  - Được tham dự Meet & Greet gặp gỡ thần tượng Sơn Tùng M-TP và nhận poster có chữ ký của các nghệ sĩ tham dự chương trình  - Sở hữu bộ kit tham gia Sky Tour bao gồm: Vòng tay đèn LED, nón và túi siêu chất - Line check-in dành riêng cho fan có vé VVIP  - Vị trí đứng ngay gần sân khấu, thỏa thích nhìn ngắm thần tượng và tận hưởng âm thanh sống động nhất.  Bên cạnh đó, hàng ngàn vé GA cùng áo thun Sơn Tùng M-TP cực chất cũng đã sẵn sàng đợi Sky đến rinh về!!! Thời gian và danh sách các địa điểm diễn ra chương trình truy cập tại đây: https://bit.ly/2XZaJBJ Nhớ là mỗi địa điểm sẽ có một thể lệ đổi vé riêng, nên nhớ đọc kỹ để săn vé không trượt tấm nào bạn nhé! Số lượng vé có hạn nên hãy nhanh chân lên nào các Sky ơi! Pepsi hẹn gặp lại các bạn tại Sky Tour 2019 tại Hà Nội vào 11/8 này nhé!!! #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019",Nguyễn Arafat và 43K người khác,30K,"1,4K",11K,81,240,13,8.757 bình luậ,2848434908503527,/story.php?story_fbid=2848434908503527&id=309972372349806
M-TP,,2019-07-24 15:00:01,"✨SKY TOUR 2019 - MEET & GREET ✨ 📣 THỜI GIAN CHECK-IN & ĐỊA ĐIỂM TỔ CHỨC:  📌 TP. Hồ Chí Minh:        🏢 Nhà thi đấu Quân khu 7        📍 202 Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TP. Hồ Chí Minh.        🕛 10:00 AM - 28/07/2019 📌 TP. Đà Nẵng:        🏢 Cung thể thao Tiên Sơn        📍 3 Phan Đăng Lưu, Hoà Cường Bắc, Quận Hải Châu, TP. Đà Nẵng        🕛 10:00 AM - 04/08/2019 📌 TP. Hà Nội:        🏢 Cung thể thao điền kinh Mỹ Đình         📍 Phố Trần Hữu Dực, Mỹ Đình, Từ Liêm, TP. Hà Nội        🕛 10:00 AM - 11/08/2019  📣 Đến MEET & GREET, bạn sẽ được:       👉 Xem trước chương trình tổng duyệt 👏       👉 Được trao tận tay poster có chữ ký của toàn bộ nghệ sĩ tham dự 🎉       👉 Giao lưu thân mật cùng nghệ sĩ Sơn Tùng M-TP 💛 📌 LƯU Ý: ⛔ TUYỆT ĐỐI KHÔNG QUAY PHIM, CHỤP ẢNH TRONG SUỐT QUÁ TRÌNH SỰ KIỆN DIỄN RA. • BTC SẼ THU GIỮ ĐIỆN THOẠI CÁ NHÂN VÀ HOÀN TRẢ LẠI SAU KHI CHƯƠNG TRÌNH KẾT THÚC. ĐIỆN THOẠI ĐƯỢC BẢO QUẢN TẠI QUẦY GIỮ ĐỒ TRONG KHU VỰC SỰ KIỆN. • BTC CÓ QUYỀN MỜI CÁ NHÂN VI PHẠM RA KHỎI KHU VỰC SỰ KIỆN MÀ KHÔNG HOÀN TRẢ LẠI TIỀN VÉ. • VUI LÒNG CHẤP HÀNH NỘI QUY & HƯỚNG DẪN DO BTC CÔNG BỐ. Hẹn gặp các bạn tại sự kiện MEET & GREET và SKY TOUR 2019!!! 🥂🥂🥂 📣 Sự kiện được phân phối vé độc quyền qua ứng dụng VinID. 📣 Tải app VinID để mua vé tại 👉 https://id.vin/WoK 📣 Hướng dẫn mua vé VinID tại 👉 https://id.vin/Wns 📣 Thông tin chi tiết, truy cập ngay 👇 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour2019",Nguyễn Arafat và 65K người khác,47K,"1,5K",15K,130,421,14,11.686 bình luậ,2844004478946570,/story.php?story_fbid=2844004478946570&id=309972372349806
M-TP,,2019-07-23 20:30:04,"Các bạn đã sẵn sàng cho SKY TOUR !!!!!!! 🐅🐅🐅 Hẹn gặp ở Sài Gòn vào ngày 28/7 ...Lần lượt ở Đà Nẵng và Hà Nội vào ngày 4/8 ,11/8  ...... Hi vọng rằng tất cả chúng ta sẽ sớm được gặp nhau,và đừng để bất kì điều gì làm mất đi sự tập trung của tất cả chúng ta trong 3 đêm đó,hãy cùng nhau tạo nên thật nhiều những kỉ niệm đẹp trong quãng đời tuổi trẻ,hãy cùng nhau ghi nhớ những khoảnh khắc đó bằng mắt và bằng trái tim nha !!!!! Hẹn gặp tất cả mọi người ở đó !!!! ❤️❤️❤️ 📣 Sự kiện được phân phối vé độc quyền qua ứng dụng VinID. 📣 Tải app VinID để mua vé tại 👉 https://id.vin/WoK 📣 Hướng dẫn mua vé VinID tại 👉 https://id.vin/Wns Thông tin chi tiết, truy cập ngay 👇 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour2019",M-TP và 140K người khác,98K,"4,6K",35K,231,439,47,18.631 bình luậ,2842568775756807,/story.php?story_fbid=2842568775756807&id=309972372349806
M-TP,,2019-07-23 15:00:00,"‼ NỘI QUY KHI THAM DỰ SKY TOUR 2019 ‼ 📌 THỜI GIAN & ĐỊA ĐIỂM TỔ CHỨC 🔸 TP. Hồ Chí Minh: 🏢 Nhà thi đấu Quân khu 7 📍 202 Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TP. Hồ Chí Minh. 🕛 Dự kiến từ 19:30 đến 22:00 - 28/07/2019 - Check-in vào lúc 14:00 cùng ngày 🔸 TP. Đà Nẵng: 🏢 Cung thể thao Tiên Sơn 📍 3 Phan Đăng Lưu, Hoà Cường Bắc, Quận Hải Châu, TP. Đà Nẵng 🕛 Dự kiến từ 19:30 đến 22:00 - 04/08/2019 - Check-in vào lúc 14:00 cùng ngày 🔸 TP. Hà Nội: 🏢 Cung thể thao điền kinh Mỹ Đình  📍 Phố Trần Hữu Dực, Mỹ Đình, Từ Liêm, TP. Hà Nội 🕛 Dự kiến từ 19:30 đến 22:00 - 11/08/2019 - Check-in vào lúc 14:00 cùng ngày 📌 ĐỐI TƯỢNG & ĐỘ TUỔI: 🔸 Vé dành cho 1 người không kèm trẻ em. 🔸 Sự kiện chỉ dành cho đối tượng từ 12 tuổi trở lên. Khán giả dưới 17 tuổi cần người giám hộ đi cùng. 🔸 Phụ nữ mang thai hoặc người có vấn đề về sức khoẻ cần cân nhắc khi tham gia sự kiện. Nếu tham gia, cần thông báo cho BTC và kí giấy cam kết về quyết định tham gia. 📌 CHECK-IN & MERCHANDISE: 🔸 Vòng tay cổ vũ, nón và túi đeo sẽ được nhận khi check-in tại sự kiện. 🔸Khán giả có đủ VÒNG TAY GIẤY có đóng dấu của BTC kèm theo VÒNG TAY CỔ VŨ đeo trên tay mới được xem là hợp lệ. Thiếu 1 trong 2 đều không được phép qua khu vực kiểm soát an ninh của sự kiện. 🔸Khán giả vui lòng tự bảo quản mã vé điện tử. BTC từ chối giải quyết trường hợp có nhiều hơn 1 người check-in cùng 1 mã vé. Theo nguyên tắc, BTC sẽ chấp nhận cho người đầu tiên check-in mã vé bị trùng. 📌 QUI ĐỊNH CHUNG: 🔸 NGHIÊM CẤM QUAY PHIM, CHỤP ẢNH CÁC TIẾT MỤC BIỂU DIỄN DƯỚI MỌI HÌNH THỨC. BTC CÓ QUYỀN YÊU CẦU NGƯỜI VI PHẠM RA KHỎI KHU VỰC SỰ KIỆN VÀ KHÔNG HOÀN TRẢ TIỀN VÉ. 🔸 Trong mọi trường hợp, quyết định của BTC là quyết định cuối cùng. 🔸 BTC có quyền từ chối sự tham gia của bất kì khán giả không tuân theo nội quy đã được thông báo và không hoàn trả lại tiền vé. 🔸 Vui lòng xếp hàng khi tiến hành soát vé. Không chen lấn xô đẩy trước, trong và sau khi diễn ra sự kiện. 🔸 Khi tham gia sự kiện đồng nghĩa với việc người tham gia đã đồng ý cho phép sử dụng hình ảnh của mình để khai thác cho sản phẩm ghi hình, thu âm. ⛔CÁC VẬT DỤNG CẤM TẠI SỰ KIỆN ⛔ 🚫 Các chất cấm (chất kích thích/nước uống có cồn), thuốc lá, thuốc lá điện tử không được phép sử dụng trong khu vực sự kiện. 🚫 Vũ khí dưới bất kỳ hình thức nào/ đèn pin/ đèn laser/ các vật nhọn/ bút viết/ ô dù/ chân máy ảnh/ gậy selfie. 🚫 Áp-phích/ băng cổ vũ/ bảng chỉ dẫn mang tính chất chính trị, chứa ngôn từ không phù hợp thuần phong mỹ tục. 🚫 Máy tính bảng/ iPad/ GoPro/ ống kính chuyên nghiệp/ thiết bị chụp ảnh chuyên nghiệp/ thiết bị ghi hình và thu âm chuyên nghiệp. 🚫 Các động vật hoặc thú nuôi. 🚫 Balo hoặc túi xách lớn. 🚫 Bật lửa/ hộp quẹt/ nến/ pháo bông và các chất phát nổ 🚫 Chai thuỷ tinh, chai nhựa, chai nhôm, lọ thiếc hoặc các vật bằng nhựa cứng. 🚫 Thức ăn, đồ uống, ghế ngồi từ bên ngoài buổi diễn. 📣Vui lòng đọc và nắm rõ nội quy tham gia SKY TOUR. 📣 Mọi thắc mắc vui lòng liên hệ BTC tại khu vực sự kiện hoặc gửi tin nhắn qua fanpage chính thức của M-TP Entertainment. HẸN GẶP MỌI NGƯỜI TẠI SKY TOURRRRRR 👏👏👏 #SkyTour2019 #SonTungMTP #MTPEntertainment",Nguyễn Arafat và 67K người khác,51K,"2,3K",12K,267,542,22,10.715 bình luậ,2842074245806260,/story.php?story_fbid=2842074245806260&id=309972372349806
